"","guess","expectation","min","max_remain","remaining"
"1","count",3.72017552146434,2.58496250072116,4,FALSE
"2","thrum",3.68872187554087,2.58496250072116,4,FALSE
"3","thump",3.68872187554087,2.58496250072116,4,FALSE
"4","notch",3.66829583405449,2.58496250072116,4,FALSE
"5","thorn",3.66829583405449,2.58496250072116,4,FALSE
"6","uncut",3.65726822961739,3,3,FALSE
"7","mount",3.65310716836281,2.26303440583379,5,FALSE
"8","shunt",3.65310716836281,2.26303440583379,5,FALSE
"9","stony",3.65310716836281,2.26303440583379,5,FALSE
"10","spout",3.63684218813101,2.58496250072116,4,FALSE
