"","guess","expectation","max","remaining"
"1","nadir",1,1,TRUE
"2","tapir",1,1,TRUE
"3","abate",1,1,FALSE
"4","abbot",1,1,FALSE
"5","abide",1,1,FALSE
"6","abled",1,1,FALSE
"7","abode",1,1,FALSE
"8","abort",1,1,FALSE
"9","about",1,1,FALSE
"10","acorn",1,1,FALSE
