"","guess","expectation","max","remaining"
"1","aider",1,1,TRUE
"2","aback",1,1,FALSE
"3","abase",1,1,FALSE
"4","abate",1,1,FALSE
"5","abbey",1,1,FALSE
"6","abbot",1,1,FALSE
"7","abhor",1,1,FALSE
"8","abide",1,1,FALSE
"9","abled",1,1,FALSE
"10","abode",1,1,FALSE
