"","guess","expectation","max","remaining"
"1","satyr",1,1,TRUE
"2","savor",1,1,TRUE
"3","abate",1,1,FALSE
"4","abbey",1,1,FALSE
"5","abbot",1,1,FALSE
"6","abhor",1,1,FALSE
"7","abode",1,1,FALSE
"8","abort",1,1,FALSE
"9","about",1,1,FALSE
"10","above",1,1,FALSE
