"","guess","expectation","min","max_remain","remaining"
"1","champ",2,2,1,FALSE
"2","chump",2,2,1,FALSE
"3","humph",2,2,1,FALSE
"4","lymph",2,2,1,FALSE
"5","morph",2,2,1,FALSE
"6","nymph",2,2,1,FALSE
"7","swamp",2,2,1,FALSE
"8","thump",2,2,1,FALSE
"9","whelp",2,2,1,FALSE
"10","whoop",2,2,1,FALSE
