"","guess","expectation","max","remaining"
"1","harsh",1,1,TRUE
"2","marsh",1,1,TRUE
"3","admin",1,1,FALSE
"4","admit",1,1,FALSE
"5","alarm",1,1,FALSE
"6","album",1,1,FALSE
"7","amass",1,1,FALSE
"8","amaze",1,1,FALSE
"9","amber",1,1,FALSE
"10","amble",1,1,FALSE
